"date","open","high","low","close","volume","oi"
2012-06-27,2,1,40039,40039,826400,2
2012-06-21,0,0,0,0,0,0
2012-06-21,0,0,0,0,103100,0
2012-06-21,1,4,141270,112816,1408216,4
2012-06-21,1,2,22243,10350,634674,2
2012-06-21,1,4,113900,113900,3110900,4
2012-06-21,1,3,10669,7278,312528,2
2012-06-21,1,2,-464200,-464200,21902500,4
2012-06-21,3,1,59885281,59688479,59885279,4
2012-06-21,2,4,28869,46852,2926631,4
2012-06-21,1,2,14700,11629,318848,2
2012-06-21,2,1,3640800,7004155,87731303,8
2012-06-21,1,4,40969,36435,223408,2
2012-06-21,1,1,-813440,674433,37229264,6
2012-06-21,1,4,154370,160299,864616,4
2012-06-21,1,2,56400,56400,624300,2
2012-06-21,1,5,-272050,-272048,32650251,3
2012-06-21,1,1,15000,15000,1225000,3
2012-06-21,1,5,75169,75169,2765200,3
2012-06-21,1,1,27500,73134,841634,4
2012-06-21,1,1,4040,4040,75065,2
2012-06-21,1,4,15569,11650,256348,2
2012-06-21,1,3,10670,10669,491319,1
2012-06-21,2,1,18700,18973,763908,2
2012-06-21,1,6,70869,70869,270720,1
2012-06-21,2,2,84700,172955,1990073,4
2012-06-21,1,2,2815,1184,442068,1
2012-06-21,1,1,-52479,-52480,14782419,4
2012-06-21,1,3,48869,45478,252628,2
2012-06-21,1,4,9400,9400,60739,4
2012-06-21,3,2,870,869,300060,1
2012-06-21,2,1,-1564562,-1564559,65564240,5
2012-06-21,1,2,5770,-5470,5800,1
2012-06-21,1,4,1795400,1795400,39954400,2
2012-06-21,1,1,15053,15362,161255,3
2012-06-21,1,2,25770,27460,1271480,2
2012-06-21,1,3,27470,27469,553200,2
2012-06-21,1,2,12669,12429,148700,1
2012-06-21,1,3,54670,53539,1073108,2
2012-06-21,4,1,4037600,3837600,163574200,4
2012-06-21,1,5,143370,180626,2245481,8
2012-06-21,1,3,10669,8528,295558,2
2012-06-21,1,1,15000,15000,848000,4
2012-06-21,1,3,81769,87053,287237,2
2012-06-21,1,1,4511,4075,29712,2
2012-06-21,1,1,-47232,-47231,11743668,4
2012-06-21,1,2,297609,297610,1647810,1
2012-06-21,1,6,47740,44229,310178,2
2012-06-21,2,6,39969,32602,227194,2
2012-06-21,1,1,4039,5022,31442,2
2012-06-21,1,1,0,-8000,0,1
2012-06-21,1,1,15000,15000,1363000,6
2012-06-21,1,2,15870,18727,1068057,2
2012-06-21,1,3,15100,9721,214268,2
2012-06-21,1,5,26770,11191,27800,1
2012-06-21,1,6,37569,36818,311600,1
2012-06-21,1,1,-6737,-19204,1183231,4
2012-06-21,2,3,-161362,-161359,67361840,2
2012-06-21,1,2,0,4188,195908,2
2012-06-21,1,2,86270,91450,1677308,2
2012-06-21,2,2,25300,13127,25300,1
2012-06-21,2,1,-1564562,-1564559,65564240,5
2012-06-21,1,2,24670,17706,127054,1
2012-06-21,1,3,57270,57269,1020700,4
2012-06-21,1,2,107000,107000,813700,2
2012-06-21,1,1,4040,5092,110086,4
2012-06-21,1,1,4039,4748,99788,2
2012-06-21,1,7,56669,52763,362488,2
2012-06-21,5,4,89770,83052,1257168,2
2012-06-21,1,3,20270,35505,810935,3
2012-06-21,1,1,13700,14330,149450,1
2012-06-21,2,1,22500,24700,543900,2
2012-06-21,1,5,22970,16624,122454,1
2012-06-21,3,2,869,3824,323534,1
2012-06-21,1,4,71570,81114,862958,2
2012-06-21,1,3,15569,12962,280908,2
2012-06-21,1,2,-1565,-1598,72965,4
2012-06-21,4,1,-2000,-2000,4407400,4
2012-06-21,2,2,95300,93382,4387700,2
2012-06-21,1,2,0,0,230219,1
2012-06-21,1,1,103900,98765,280100,2
2012-06-21,2,1,3360,2776,27218,1
2012-06-21,1,2,5770,-2385,98874,1
2012-06-21,1,2,116900,114679,567700,2
2012-06-21,1,3,13569,9920,179048,2
2012-06-21,1,1,35000,35000,696400,4
2012-06-21,1,4,35869,28883,309854,1
2012-06-21,1,1,84900,22873,3274400,6
2012-06-21,3,3,69137,21553,3682067,4
2012-06-21,1,1,-6979,-19815,1225414,4
2012-06-21,1,3,8670,8669,148379,1
2012-06-21,1,2,116900,120587,599608,2
2012-06-21,3,1,90000,90000,1999800,2
2012-06-21,1,2,15870,15869,979000,6
2012-06-21,2,4,125170,128731,1205746,3
2012-06-21,1,3,5769,2268,204968,2
2012-06-21,1,1,583307,557777,5746963,1
2012-06-21,1,1,10000,10000,178000,1
2012-06-21,2,5,49768,52720,471452,2
2012-06-21,1,1,10900,13647,103314,1
2012-06-21,2,4,166241,178614,2584410,4
2012-06-21,1,3,14569,14131,189900,1
2012-06-21,1,1,4900,-6324,4900,1
2012-06-21,1,2,7300,7300,51113,4
2012-06-21,1,2,7300,7300,51113,4
2012-06-21,1,1,11800,6120,188004,1
2012-06-21,1,5,109470,109469,1390600,2
2012-06-21,1,1,11590,19726,1232646,4
2012-06-21,1,2,61100,54040,193754,2
2012-06-21,1,1,362000,362000,957500,4
2012-06-21,1,2,22000,15217,172895,1
2012-06-21,1,2,15870,15869,953000,6
2012-06-21,1,1,24900,23883,626556,2
2012-06-21,1,2,4900,10715,205208,2
2012-06-21,1,2,7769,-294,115835,1
2012-06-21,1,4,25770,33928,480908,2
2012-06-21,2,2,20500,26019,329528,2
2012-06-21,1,2,-700,-700,43113,4
2012-06-21,1,2,-700,-700,43113,4
2012-06-21,1,1,4900,7761,138354,1
2012-06-21,1,6,27770,22112,220988,2
2012-06-21,1,1,4300,4300,48113,4
2012-06-21,2,2,179600,179600,1836200,4
2012-06-21,1,1,10900,10692,86200,1
2012-06-21,1,1,3276,6922,355784,2
2012-06-21,1,2,-700,-700,43113,4
2012-06-21,1,1,44900,55733,1917486,6
2012-06-21,1,1,4900,5876,9800,1
2012-06-21,1,2,22469,19418,162014,1
2012-06-21,1,3,9669,12347,102114,2
2012-06-21,2,3,27080,35989,257957,4
2012-06-21,1,4,402450,402450,3234550,2
2012-06-21,4,2,4900,10715,847688,2
2012-06-21,2,2,174500,245240,1916262,4
2012-06-21,1,4,17569,12106,258508,2
2012-06-21,2,3,7769,-461,237274,1
2012-06-21,1,5,113870,111652,1382900,4
2012-06-21,1,2,57100,57100,557500,2
2012-06-21,1,6,22869,17778,310048,2
2012-06-21,1,2,22000,15217,162635,1
2012-06-21,1,6,32670,28410,284868,2
2012-06-21,1,2,-180900,-178150,125795,2
2012-06-21,1,5,20869,26778,168968,2
2012-06-21,1,5,23870,23869,125800,1
2012-06-21,1,4,2574796,1397076,47108898,3
2012-06-21,1,5,113870,111652,1382900,4
2012-06-21,0,0,0,0,256300,0
2012-06-21,1,2,22000,15217,161495,1
2012-06-21,1,5,21869,12004,22900,1
2012-06-21,1,5,113870,111652,1482900,4
2012-06-21,0,2,0,0,0,0
2012-06-21,1,1,23200,15653,201854,1
2012-06-21,1,3,14569,7947,171714,2
2012-06-21,1,5,117470,115183,1448700,4
2012-06-21,1,4,3183525,1336653,73874825,3
2012-06-21,2,4,25999,26000,137940,1
2012-06-21,1,4,23069,23069,122820,1
2012-06-21,1,2,4900,10715,200648,2
2012-06-21,1,1,10900,13647,111294,1
2012-06-21,1,5,22970,22969,86100,1
2012-06-21,1,4,23869,16091,180554,1
2012-06-21,2,3,117600,86763,1692600,4
2012-06-21,1,4,42959,52564,1788305,6
2012-06-21,1,2,26100,23712,345508,2
2012-06-21,1,1,4899,4806,104620,1
2012-06-21,1,1,4900,-6378,4900,2
2012-06-21,1,3,38700,46883,567758,2
2012-06-21,4,1,4900,-5017,4900,1
2012-06-21,1,1,7719,7572,809719,4
2012-06-21,1,4,34670,41830,324120,2
2012-06-21,1,1,35000,41937,576837,4
2012-06-21,1,2,44800,43948,1898100,4
2012-06-21,2,2,41769,32930,196314,1
2012-06-21,1,6,27769,23812,216428,2
2012-06-21,2,2,112800,191550,1695950,4
2012-06-21,1,2,2200,2200,14137,1
2012-06-21,1,5,28770,20158,194394,1
2012-06-21,1,4,71570,70155,807900,2
2012-06-21,1,5,27870,30275,116754,1
2012-06-21,1,1,106900,104951,770082,2
2012-06-21,1,2,66300,80500,1284689,4
2012-06-21,2,2,15569,21182,592788,2
2012-06-21,3,2,0,0,569520,1
2012-06-21,1,1,20000,20000,220580,2
2012-06-21,1,1,-1494206,-1494204,58486495,4
2012-06-21,1,4,15969,21574,215648,2
2012-06-21,1,1,42500,42500,957700,4
2012-06-21,1,5,28769,28204,150860,1
2012-06-21,1,1,10059,10519,147060,1
2012-06-21,1,5,65969,70586,261948,2
2012-06-21,2,3,25369,23575,748008,2
2012-06-21,2,1,176600,216698,1803537,4
2012-06-21,1,2,25770,34149,1217569,4
2012-06-21,1,1,7719,7572,809719,4
2012-06-21,1,3,0,13312,178839,2
2012-06-21,2,2,5769,3074,487854,1
2012-06-21,2,2,27570,12711,225434,1
2012-06-21,1,5,110269,106876,5166600,5
2012-06-21,2,3,25369,24887,718039,2
2012-06-21,1,1,4900,4621,4900,2
2012-06-21,1,4,64500,63221,1637000,2
2012-06-21,1,5,28769,20598,154254,1
2012-06-21,1,1,4900,4675,4900,1
2012-06-21,2,1,9900,29821,1934209,2
2012-06-21,1,1,11800,5720,138704,1
2012-06-21,1,5,134670,134669,1311100,4
2012-06-21,2,2,15600,12208,329188,2
2012-06-21,1,1,24900,33296,1216669,4
2012-06-21,1,1,24900,24426,529000,2
2012-06-21,1,5,151070,148146,643500,2
2012-06-21,2,3,15569,15273,398640,1
2012-06-21,2,3,5769,2268,391388,2
2012-06-21,2,1,4900,-6565,4900,2
2012-06-21,1,4,80600,97721,645506,2
2012-06-21,2,3,25370,21535,500208,2
2012-06-21,1,1,2264,-5803,2264,1
2012-06-21,1,1,89480,125429,2389005,2
2012-06-21,1,3,15969,7620,118674,1
2012-06-21,1,2,-212818,-916287,28138679,4
2012-06-21,1,4,80600,108721,645506,2
2012-06-21,1,4,368000,368000,30901100,6
2012-06-21,4,3,286469,339822,6531452,5
